x,y
4.222109,1.662087
1.294584,1.855053
2.556374,2.104652
1.516564,2.155005
2.382985,2.058065
2.523434,2.14058
1.409189,2.017087
1.252532,1.800055
4.548731,1.591786
4.51083,1.421632
1.550738,2.042727
3.41992,1.868408
2.360714,2.332181
3.054435,2.251629
4.565055,1.508471
4.32655,1.559028
1.302462,2.005931
0.070209,0.950543
3.598523,1.858454
3.340766,2.219451
0.005714,0.804777
1.219554,1.930204
1.626022,2.141951
2.837554,2.179872
1.19308,2.084958
2.239848,2.199946
0.402229,1.319127
4.664169,1.421015
0.545289,1.337281
2.737205,2.189172
4.072334,1.50609
3.015928,2.132238
2.938085,2.084893
1.924506,2.229394
2.878255,2.205139
0.933648,1.822041
3.063866,2.123443
0.449122,1.314014
3.78802,2.080252
4.212301,1.50512
4.490866,1.567733
1.95648,2.132958
3.526417,2.009991
4.24743,1.819653
4.475195,1.263049
2.898475,2.087448
2.252816,2.059084
4.584706,1.098259
3.966625,1.939511
2.432221,2.317236
3.150737,2.207283
3.657446,1.920364
0.585671,1.549902
1.662681,2.28464
4.079565,1.796381
3.488353,2.087872
0.22617,1.019695
2.67099,2.145916
3.402946,2.226921
3.031692,2.217164
2.879765,2.146606
4.902583,1.156243
0.18196,1.427742
0.92486,1.788313
0.619476,1.586765
4.684846,1.469428
0.113913,1.070013
1.299599,1.982652
1.104146,1.80429
0.90159,1.664952
2.518183,2.294656
4.941176,1.069429
0.996779,1.69582
4.191633,1.803578
4.59241,1.446833
4.832745,1.292359
0.290255,1.186979
1.711563,1.952838
1.253437,1.850523
0.874097,1.659541
2.358127,2.136454
2.543001,2.319225
1.55723,1.953338
1.254663,2.088906
2.803001,2.395644
1.679583,2.128225
0.228482,1.203751
4.765647,1.296087
1.761128,2.118572
4.734529,1.343061
3.168739,2.045692
1.940086,2.077962
2.07209,2.210155
0.961548,1.772147
1.672008,2.122351
1.89324,2.318493
4.377117,1.451174
2.011335,2.159283
3.509148,1.918018
0.233898,1.295367
2.226761,2.231674
2.637866,2.304684
2.436328,2.093689
4.419376,1.450039
2.472913,2.207218
4.045229,1.876198
4.375082,1.571479
4.997102,0.943258
3.165444,2.300635
4.934107,1.145546
2.009084,2.163945
1.067623,1.761122
3.586621,2.199846
2.64173,2.248738
0.488922,1.547316
4.368269,1.650278
1.399914,2.053492
4.269691,1.617455
1.983481,2.266547
2.264891,2.278149
